,Sample of the book,Book_name
586,speed force left employ defence l unawares lose high place sanctuary hill son calm aspect clear lightning divine ineffable serene make answer mighty father thou thy foe justly hast derision secure laughest vain design tumult vain matter glory hate illustrates see regal power give quell pride event know whether dextrous subdue thy rebel found bad heaven spake son satan power far advanced wing speed host innumerable star night star morning dew drop sun impearls every leaf every flower region pass mighty regency seraph potentate throne triple degree region thy dominion adam garden earth sea one entire globose stretch longitude pass length limit north come satan royal seat high hill far blazing mount raise mount pyramid tower diamond quarry hewn rock gold palace great lucifer call structure dialect men interpret long affect equality god imitation mount whereon messiah declare sight heaven mountain congregation call thither assemble train pretend command consult great ,4
241,bring evil upon flesh saith lord thy life give unto thee prey place whither thou goest word lord come jeremiah prophet gentile egypt army pharaohnecho king egypt river euphrates carchemish nebuchadrezzar king babylon smote fourth year jehoiakim son josiah king judah order ye buckler shield draw near battle harness horse get ye horseman stand forth helmet furbish spear put brigandine wherefore see dismayed turn away back mighty one beaten flee apace look back fear round saith lord let swift flee away mighty man escape shall stumble fall toward north river euphrates cometh flood whose water move river egypt riseth like flood water move like river saith go cover earth destroy city inhabitant thereof come ye horse rage ye chariot let mighty men come forth ethiopian libyan handle shield lydian handle bend bow day lord god host day vengeance may avenge adversary sword shall devour shall satiate make drunk blood lord ,1
165,people suppose mean complain however undoubtedly comfortable one hope time well enclosure norland common carry serious drain make little purchase within half year east kingham farm must remember place old gibson use live land desirable every respect immediately adjoin property felt duty buy answer conscience let fall hand man must pay convenience cost vast deal money think really intrinsically worth hope might sell next day give regard purchase money might unfortunate indeed stock time low happen necessary sum banker hand must sell great loss elinor smile great inevitable expense first come norland respect father well know bequeath stanhill effect remain norland valuable mother far repine undoubted right dispose property chose consequence oblige make large purchase linen china c supply place take away may guess expense far must rich acceptable mr ferrars kindness certainly say elinor assist liberality hope may yet live easy circumstance another year two may much towards gravely ,0
990,emerge realize idol bad idol back hardly half human guess judge small squat head still thing like tail extra limb turn behind point like loathsome large finger symbol graven centre vast stone back begin dim light guess hieroglyphic without horror horrible thing happen door open silently temple wall behind man come brown face black coat carve smile face copper flesh ivory teeth think hateful thing european dress prepared think shroud priest naked fakir seem say devilry earth indeed found see monkey foot say smile steadily without preface gentle torture die see monkey face still moderate tolerant torture live see monkey tail must pronounce bad sentence go free say word heard elaborate iron latch struggle automatically unlock far dark passage pass heard heavy street door shift bolt backwards vain ask mercy must go free say smile man henceforth hair shall slay like sword breath shall bite like adder weapon shall come ,2
332,menstruous cloth thou shalt say unto get thee hence shall give rain thy seed thou shalt sow ground withal bread increase earth shall fat plenteous day shall thy cattle feed large pasture ox likewise young ass ear ground shall eat clean provender hath winnowed shovel fan shall upon every high mountain upon every high hill river stream water day great slaughter tower fall moreover light moon shall light sun light sun shall sevenfold light seven day day lord bindeth breach people healeth stroke wound behold name lord cometh far burning anger burden thereof heavy lip full indignation tongue devour fire breath overflow stream shall reach midst neck sift nation sieve vanity shall bridle jaw people cause err ye shall song night holy solemnity kept gladness heart one goeth pipe come mountain lord mighty one israel lord shall cause glorious voice heard shall shew light arm indignation anger flame devour fire ,1
737,student cetacean history marius sylla classic scholar new zealand tom miguel various time create great havoc among boat different vessel finally go quest systematically hunt chase kill valiant whale captain heave anchor express object much view set narragansett wood captain butler old mind capture notorious murderous savage annawon headmost warrior indian king philip know find well place make mention one two thing seem important print form establish respect reasonableness whole story white whale especially catastrophe one dishearten instance truth require full much bolster error ignorant landsman plainest palpable wonder world without hint touch plain fact historical otherwise fishery might scout moby dick monstrous fable still bad detestable hideous intolerable allegory first though men vague flit idea general peril grand fishery yet nothing like fix vivid conception peril frequency recur one reason perhaps one fifty actual disaster death casualty fishery find public record home however transient immediately forgotten record suppose poor ,3
306,rule people wrought work pharaoh daughter come city david unto house solomon built build millo three time year solomon offer burnt offering peace offering upon altar built unto lord burnt incense upon altar lord finish house king solomon make navy ship eziongeber beside eloth shore red sea land edom hiram sent navy servant shipmen knowledge sea servant solomon come ophir fetch thence gold four hundred twenty talent brought king solomon queen sheba heard fame solomon concern name lord come prove hard question come jerusalem great train camel bare spice much gold precious stone come solomon commune heart solomon told question thing hid king told queen sheba see solomon wisdom house built meat table sit servant attendance minister apparel cupbearer ascent go unto house lord spirit say king true report heard mine land thy act thy wisdom howbeit believe word come mine eye see behold half told thy wisdom prosperity exceedeth ,1
418,still rise impossible climb betwixt rocky pillar gabriel sat chief angelick guard await night exercise heroick game unarmed youth heaven nigh hand celestial armoury shield helm spear hung high diamond flame gold thither come uriel glide even sun beam swift shoot star autumn thwart night vapour fire impress air show mariner point compass beware impetuous wind thus begin haste gabriel thee thy course lot hath give charge strict watch happy place evil thing approach enter day highth noon come sphere spirit zealous seem know almighty work chiefly man god late image described way bent speed marked aery gait mount lie eden north first light soon discern look alien heaven passion foul obscure mine eye pursue still shade lose sight one banish crew fear hath venture deep raise new trouble thy care must find wing warriour thus return uriel wonder thy perfect sight amid sun bright circle thou sitst see far ,4
925,room watch arthur handle packet coin purchase slowly shunt one two time dark study museum back house soon heard heavy door close finally make bolt shrimp net tam shanter go slip saw brother left behind one coin lay gleam long bench window bronze coin colour combine exact curve roman nose something lift long wiry neck make head caesar almost precise portrait philip hawker suddenly remember giles tell philip coin like philip wish perhaps fancy wild foolish thought head go round felt gift fairy seem run away give philip like wild sort wedding ring bond felt thousand thing yawn like pit enormous awful notion unbearable thought like touch hot iron arthur think carstairs thief thief carstairs treasure believe brother see burn like witch thing thought fanatical cruelty heighten old hatred dingy old antiquarian fussiness longing youth liberty call sea outside strong sunlight wind yellow head broom gorse garden rapped glass window ,2
61,delaford call distant relation well aware general suspect much nearer connection three year ago reach fourteenth year remove school place care respectable woman reside dorsetshire charge four five girl time life two year every reason pleased situation last february almost twelvemonth back suddenly disappear allow imprudently since turn earnest desire go bath one young friend attend father health knew good sort man thought well daughter well deserve obstinate ill judged secrecy tell nothing give clue though certainly knew father well meaning quick sight man really believe give information generally confine house girl range town make acquaintance chose try convince thoroughly convince daughter entirely unconcerned business short learn nothing go rest eight long month left conjecture thought fear may imagine suffer good heaven cry elinor willoughby first news reach continued come letter last october forward delaford receive morning intend party whitwell reason leave barton suddenly sure must time appear strange every ,0
545,nation achieve thereby fame world high title rich prey shall change course pleasure ease sloth surfeit lust till wantonness pride raise friendship hostile deed peace conquer also enslave war shall freedom lose virtue lose fear god piety feign sharp contest battle found aid invader therefore cool zeal thenceforth shall practice live secure worldly dissolute lord shall leave enjoy earth shall bear enough temperance may try shall turn degenerate deprave justice temperance truth faith forgot one man except son light dark age example good allurement custom world offend fearless reproach scorn grand child twelve son encreased departs canaan land hereafter call egypt divide river nile see flow disgorge seven mouth sea sojourn land come invite young son time dearth son whose worthy deed raise second realm pharaoh dy leaf race grow nation grown suspect sequent king seek stop overgrowth inmate guest violence wicked way shall admonish set path righteousness much safe ,4
59,invitation accepted continuance place everything remind former delight exactly suit mind season cheerfulness temper cheerful posse great degree sanguine expectation happiness happiness sorrow must equally carry away fancy far beyond consolation pleasure beyond alloy mr john dashwood approve husband intend sister take three thousand pound fortune dear little boy impoverish dreadful degree beg think subject answer rob child child large sum possible claim miss dashwoods related half blood consider relationship generosity large amount well know affection suppose exist child man different marriage ruin poor little harry give away money half sister father last request reply husband assist widow daughter know talk dare say ten one light head time right sens thought thing beg give away half fortune child stipulate particular sum dear fanny request general term assist make situation comfortable power perhaps well left wholly hardly suppose neglect require promise less give least thought time promise therefore give must perform ,0
620,begin counting page deliberate regularity every fiftieth page fancy stop moment look vacantly around give utterance long drawn gurgle whistle astonishment begin next fifty seem commence number one time though count fifty large number fifty found together astonishment multitude page excite much interest sat watch savage though hideously mar face least taste countenance yet something mean disagreeable hide soul unearthly tattooings thought saw trace simple honest heart large deep eye fiery black bold seem token spirit dare thousand devil besides certain lofty bearing pagan even uncouthness altogether maim look like man cringed creditor whether head shave forehead drawn freer brighter relief look expansive otherwise venture decide certain head phrenologically excellent one may seem ridiculous remind general washington head see popular bust long regularly grade retreat slope brow likewise project like two long promontory thickly wooded top queequeg george washington cannibalistically developed whilst thus closely scan half pretend meanwhile look storm ,3
42,simplest remedy chapter marianne get next morning usual time every inquiry reply well try prove engage accustomary employment day spent sit shiver fire book hand unable read lie weary languid sofa speak much favour amendment last go early bed indispose colonel brandon astonish sister composure though attend nursing whole day marianne inclination force proper medicine night trust like marianne certainty efficacy sleep felt real alarm restless feverish night however disappointed expectation marianne persist rise confess unable sit return voluntarily bed elinor ready adopt mr jennings advice send palmer apothecary come examine patient though encourage miss dashwood expect day restore sister health yet pronounce disorder putrid tendency allow word infection pas lip give instant alarm mr palmer baby account mr jennings inclined first think marianne complaint serious elinor look grave mr harris report confirm charlotte fear caution urge necessity immediate removal infant mr palmer though treat apprehension idle found anxiety importunity ,0
702,observe eye ear side head nearly one third entire length front wherefore must perceive front sperm whale head dead blind wall without single organ tender prominence sort whatsoever furthermore consider extreme low backward slop part front head slightest vestige bone till get near twenty foot forehead come full cranial development whole enormous boneless mass one wad finally though soon reveal content partly comprise delicate oil yet apprise nature substance impregnably invests apparent effeminacy previous place described blubber wrap body whale rind wrap orange head difference head envelope though thick boneless toughness inestimable man handle severest point harpoon sharpest lance dart strong human arm impotently rebound though forehead sperm whale pave horse hoof think sensation lurks bethink also another thing two large load indiaman chance crowd crush towards dock sailor suspend point come contact merely hard substance like iron wood hold large round wad tow cork envelop thickest toughest ox hide ,3
280,elishua nepheg japhia elishama eliada eliphalet philistine heard anoint david king israel philistine come seek david david heard go hold philistine also come spread valley rephaim david enquire lord say shall go philistine wilt thou deliver mine hand lord say unto david go doubtless deliver philistine thine hand david come baalperazim david smote say lord hath broken forth upon mine enemy breach water therefore call name place baalperazim left image david men burn philistine come yet spread valley rephaim david enquire lord say thou shalt go fetch compass behind come upon mulberry tree let thou hearest sound go top mulberry tree thou shalt bestir thyself shall lord go thee smite host philistine david lord command smote philistine geba thou come gazer david gather together chosen men israel thirty thousand david arose go people baale judah bring thence ark god whose name call name lord host dwelleth cherubims set ark god ,1
974,still prim whiten tighten deliberately broke long pipe glass table stood picture perfect gentleman frame temper fiend gentleman say tell whether cause like curse eyre old lain heavy country many suffer know none suffer crush piece fall glass heel strode away among green twilight twinkle apple tree extraordinary old gentleman say two happen know exmoor family do big man black star wild air baffle bull first seem take say last know reaffirm ignorance another silence little priest say still look table duke exmoor collect scatter sens add equally quietly air regularize thing friend doctor mull duke librarian name brown stammer duke damn old duke like seem really believe answer priest call brown left curse add irrelevance wear wig moment meaning dawn mean fable fantastic ear demand heard course surely must superstitious yarn spun something much simpler sometimes thought wild version one mutilation story use crop criminal ear sixteenth century hardly ,2
444,shoulder broad veil slender waist unadorned golden tress wore dishevel wanton ringlet wave vine curl tendril imply subjection require gentle sway yield best receive yield coy submission modest pride sweet reluctant amorous delay mysterious part conceal guilty shame dishonest shame nature work honour dishonourable sin breed ye troubled mankind show instead mere show seem pure banish man life happiest life simplicity spotless innocence pass naked shun sight god angel thought ill hand hand pass lovely pair since love embrace met adam goodliest man men since born son fairest daughter eve tuft shade green stood whisper soft fresh fountain side sat toil sweet gardening labour suffice recommend cool zephyr make ease easy wholesome thirst appetite grateful supper fruit fell nectarine fruit compliant bough yield side long sat recline soft downy bank damasked flower savoury pulp chew rind still thirst scoop brimming stream gentle purpose endear smile want youthful dalliance beseems fair ,4
415,witness almighty act jubilee advanced go shade branching palm order bright sung triumph sung victorious king son heir lord dominion give worthy reign celebrate rode triumphant mid heaven court temple mighty father throne high glory receive sits right hand bliss thus measure thing heaven thing earth thy request thou mayest beware past thee reveal might else human race hid discord befel war heaven among angelick power deep fall high aspire rebel satan envy thy state plot may seduce thee also obedience bereave happiness thou mayest partake punishment eternal misery solace revenge despite do high thee gain companion woe listen temptation warn thy weaker let profit thee heard terrible example reward disobedience firm might stood yet fell remember fear transgress book vii descend heaven urania name rightly thou art call whose voice divine follow olympian hill soar flight pegasean wing meaning name call thou mus nine top old olympus dwellest heavenly ,4
677,wonderful cruise sea numerous vessel go entire month without secure single fish barrel beef bread give away make room far valuable sperm additional supplemental cask barter ship met stow along deck captain officer state room even cabin table knock kindle wood cabin mess din broad head oil butt lash floor centrepiece forecastle sailor actually caulked pitch chest fill humorously add cook clapped head large boiler fill steward plug spare coffee pot fill harpooneer head socket iron fill indeed everything fill sperm except captain pantaloon pocket reserve thrust hand self complacent testimony entire satisfaction glad ship good luck bore upon moody pequod barbarian sound enormous drum come forecastle draw still nearer crowd men see stand round huge try pot cover parchment like poke stomach skin black fish give forth loud roar every stroke clenched hand crew quarter deck mate harpooneer dance olive hue girl elope polynesian isle suspend ornament boat firmly ,3
476,progress smile let forth thy side henceforth stray er day work lie though enjoin laborious till day droop dwell toilsome pleasant walk let live though fall state content spake wish much humble eve fate subscribed nature first give sign impressed bird beast air air suddenly eclipse short blush morn nigh sight bird jove stoop aery tour two bird gayest plume drove hill beast reign wood first hunter pursue gentle brace goodliest forest hart hind direct eastern gate bent flight adam observe eye chase pursue unmoved eve thus spake eve change awaits nigh heaven mute sign nature show forerunner purpose warn haply secure discharge penalty death release day long till life know dust thither must return else double object sight flight pursue air er ground one way self hour east darkness ere day mid course morning light orient yon western cloud draw er blue firmament radiant white slow descends something heavenly ,4
577,constellation held spread bane blast star look wan planet planet struck real eclipse suffer way satan go causey hell gate either side disparted chaos overbuilt exclaim rebound surge bar assail scorn indignation gate wide open unguarded satan pass found desolate appoint sit left charge flown upper world rest far inland retire wall pandemonium city proud seat lucifer allusion call bright star satan paragoned kept watch legion grand council sat solicitous chance might intercept emperour sent depart give command observe tartar russian foe astracan snowy plain retires bactrin sophi horn turkish crescent leaf waste beyond realm aladule retreat tauris casbeen late heaven banish host left desart utmost hell many dark league reduce careful watch round metropolis expect hour great adventurer search foreign world midst unmarked show plebeian angel militant low order pass door plutonian hall invisible ascend high throne state richest texture spread upper end place regal lustre sat round saw ,4
124,honour mulberry tree canal yew arbour make mr jennings time cease think mr ferrars early february within fortnight receipt willoughby letter elinor painful office inform sister married take care intelligence conveyed soon know ceremony desirous marianne receive first notice public paper saw eagerly examine every morning receive news resolute composure make observation first shed tear short time burst rest day state hardly less pitiable first learnt expect event willoughbys left town soon married elinor hop danger see either prevail sister yet left house since blow first fell go degree do time two miss steele lately arrive cousin house bartlett building holburn present grand relation conduit berkeley street welcome great cordiality elinor sorry see presence always give pain hardly knew make gracious return overpower delight lucy find still town quite disappointed found still say repeatedly strong emphasis word always thought almost sure leave london yet awhile though told know barton stay ,0
557,squadron join cattle pasture late scatter lie carcass arm ensanguined field desert others city strong lay siege encamp battery scale mine assault others wall defend dart javelin stone sulphurous fire hand slaughter gigantick deed part sceptered herald call council city gate anon gray head men grave warriours mixed assemble harangue heard soon factious opposition till last middle age one rise eminent wise deport spake much right wrong justice religion truth peace judgement old young explode seize violent hand cloud descend snatch thence unseen amid throng violence proceed oppression sword law plain refuge none found adam tear guide lament turn full sad death minister men thus deal death inhumanly men multiply ten thousandfold sin slew brother massacre make brother men men man heaven rescue righteousness lose thus michael product ill mat marriage thou sawest good bad match abhor join imprudence mixed produce prodigious birth body mind giant men high renown day ,4
330,serve egyptian die wilderness moses say unto people fear ye stand still see salvation lord shew day egyptian ye see day ye shall see lord shall fight ye shall hold peace lord say unto moses wherefore criest thou unto speak unto child israel go forward lift thou thy rod stretch thine hand sea divide child israel shall go dry ground midst sea behold harden heart egyptian shall follow get honour upon pharaoh upon host upon chariot upon horseman egyptian shall know lord gotten honour upon pharaoh upon chariot upon horseman angel god go camp israel remove go behind pillar cloud go face stood behind come camp egyptian camp israel cloud darkness give light night one come near night moses stretch hand sea lord cause sea go back strong east wind night make sea dry land water divide child israel go midst sea upon dry ground water wall unto right hand ,1
582,deep lead bad relapse heavier fall purchase dear short intermission bought double smart know punisher therefore far grant beg peace hope exclude thus behold stead mankind create world farewell hope hope farewell fear farewell remorse good lose evil thou good thee least divide empire heaven king hold thee half perhaps reign man ere long new world shall know thus spake passion dim face thrice change pale ire envy despair mar borrow visage betrayed counterfeit eye beheld heavenly mind distemper foul clear whereof soon aware perturbation smooth outward calm artificer fraud first practise falsehood saintly show deep malice conceal couched revenge yet enough practise deceive uriel warn whose eye pursue way go assyrian mount saw disfigure befall spirit happy sort gesture fierce marked mad demeanour alone suppose unobserved unseen fare border come eden delicious paradise nearer crown enclosure green rural mound champaign head steep wilderness whose hairy side access deny overhead ,4
530,unless heaven lord supreme overpower suppose relent publish grace promise make new subjection eye stand presence humble receive strict law impose celebrate throne warble hymn godhead sing force hallelujah lordly sits envy sovereign altar breathes ambrosial odour ambrosial flower servile offering must task heaven delight wearisome eternity spent worship paid hate let pursue force impossible leave obtain unacceptable though heaven state splendid vassalage rather seek good live though vast recess free none accountable prefer hard liberty easy yoke servile pomp greatness appear conspicuous great thing small useful hurtful prosperous adverse create place soe er thrive evil work ease pain labour endurance deep world darkness dread oft amidst thick cloud dark doth heaven ruling sire choose reside glory unobscured majesty darkness round cover throne whence deep thunder roar muster rage heaven resembles hell darkness light imitate please desert soil want hidden lustre gem gold want skill art whence raise magnificence heaven ,4
639,proper page say beloved shipmate clinch last verse first chapter jonah god prepared great fish swallow jonah shipmate book contain four chapter four yarn one small strand mighty cable scripture yet depth soul jonah deep sealine sound pregnant lesson prophet noble thing canticle fish belly billow like boisterously grand feel flood surge sound kelpy bottom water sea weed slime sea lesson book jonah teach shipmate two strand lesson lesson sinful men lesson pilot living god sinful men lesson story sin hard heartedness suddenly awaken fear swift punishment repentance prayer finally deliverance joy jonah sinner among men sin son amittai wilful disobedience command god mind command conveyed found hard command thing god hard remember hence oftener command endeavor persuade obey god must disobey disobey wherein hardness obey god consists sin disobedience jonah still flouts god seek flee think ship make men carry country god reign captain earth skulks wharf joppa seek ,3
156,timber valley look comfortable snug rich meadow several neat farm house scatter exactly answer idea fine country unites beauty utility dare say picturesque one admire easily believe full rock promontory grey moss brush wood lose know nothing picturesque afraid true say marianne boast suspect say elinor avoid one kind affectation edward fall another believe many people pretend admiration beauty nature really feel disgust pretension affect great indifference less discrimination view posse fastidious affectation true say marianne admiration landscape scenery become mere jargon every body pretend feel try describe taste elegance first define picturesque beauty detest jargon every kind sometimes kept feeling find language describe worn hackneyed sense meaning convince say edward really feel delight fine prospect profess feel return sister must allow feel profess like fine prospect picturesque principle like crooked twist blast tree admire much tall straight flourish like ruin tattered cottage fond nettle thistle heath blossom pleasure snug ,0
548,living creature dear well hast thou motion well thy thought employ might best fulfil work god hath assign shalt pas unpraised nothing lovelier found woman study houshold good good work husband promote yet strictly hath lord impose labour debar need refreshment whether food talk food mind sweet intercourse look smile smile reason flow brute deny love food love low end human life irksome toil delight make delight reason join path bower doubt joint hand keep wilderness ease wide need walk till young hand ere long assist much converse perhaps thee satiate short absence yield solitude sometimes best society short retirement urge sweet return doubt posse l harm befall thee sever thou knowest hath warn malicious foe envy happiness despair seek work woe shame sly assault somewhere nigh hand watch doubt greedy hope find wish best advantage asunder hopeless circumvent join speedy aid might lend need whether first design withdraw fealty ,4
191,form establishment norland man one maid sent immediately devonshire prepare house mistress arrival lady middleton entirely unknown mr dashwood prefer go directly cottage visitor barton park rely undoubtingly sir john description house feel curiosity examine till enter eagerness go norland preserve diminution evident satisfaction daughter law prospect removal satisfaction feebly attempt conceal cold invitation defer departure time son law promise father might particular propriety fulfil since neglect first come estate quit house might look suitable period accomplishment mr dashwood begin shortly give every hope kind convince general drift discourse assistance extend farther maintenance six month norland frequently talk increase expense housekeep perpetual demand upon purse man consequence world beyond calculation expose seem rather stand need money design give money away week day brought sir john middleton first letter norland every thing far settle future abode enable mr dashwood daughter begin journey many tear shed last adieu place much beloved dear ,0
863,sport stop hotel night hardly weather basking shore seat say flambeau point little table keep look say man motionless face quiet well feature fellow rather sallow dark clothes nothing distinctive except black necktie worn rather high like stock secure gold pin grotesque head anything notable face except something probably mere nervous trick habit opening one eye narrowly give impression large perhaps artificial silence ensue broken host say quietly whereabouts meet one man march curiously enough answer priest close bandstand flambeau sat long iron seat finish sherry put rise foot star friend amazement open mouth speak shut curious say dark haired man thoughtfully like rather dark saw begin father brown say hotel keeper prove told precise truth phrase cook start presently fulfil letter cook come pull glove even spoke different figure confuse mass white black appear instant doorway button buckle bursting eyeball brilliant fashion tall black hat tilt broad black head ,2
699,dreadful gulf monster whale mouth immediately lose swallow sea gudgeon retires great security sleep montaigne apology raimond sebond let fly let fly old nick take leviathan described noble prophet moses life patient job rabelais whale liver two cartload stowe annals great leviathan maketh sea seethe like boil pan lord bacon version psalm touch monstrous bulk whale ork receive nothing certain grow exceed fat insomuch incredible quantity oil extract one whale ibid history life death sovereignest thing earth parmacetti inward bruise king henry like whale hamlet secure skill leach art mote availle returne againe wound worker lowly dart dinting breast breed restless paine like wound whale shore fly thro maine faerie queen immense whale motion whose vast body peaceful calm trouble ocean til boil sir william davenant preface gondibert spermacetti men might justly doubt since learn hosmannus work thirty year saith plainly nescio quid sit sir browne sperma ceti sperma ceti ,3
170,moderate moderate rest world believe wish well every body else perfectly happy like every body else must way greatness make strange cry marianne wealth grandeur happiness grandeur little say elinor wealth much elinor shame say marianne money give happiness nothing else give beyond competence afford real satisfaction far mere self concerned perhaps say elinor smile may come point competence wealth much alike dare say without world go shall agree every kind external comfort must want idea noble mine come competence eighteen hundred two thousand year elinor laugh two thousand year one wealth guess end yet two thousand year moderate income say marianne family well maintain small sure extravagant demand proper establishment servant carriage perhaps two hunter support less elinor smile hear sister describe accurately future expense combe magna hunter repeat edward must hunter every body hunt marianne colour reply people wish say margaret strike novel thought somebody give large fortune ,0
398,forth egypt thou shalt roast eat place lord thy god shall choose thou shalt turn morning go unto thy tent six day thou shalt eat unleavened bread seventh day shall solemn assembly lord thy god thou shalt work therein seven week shalt thou number unto thee begin number seven week time thou beginnest put sickle corn thou shalt keep feast week unto lord thy god tribute freewill offering thine hand thou shalt give unto lord thy god accord lord thy god hath bless thee thou shalt rejoice lord thy god thou thy son thy daughter thy manservant thy maidservant levite within thy gate stranger fatherless widow among place lord thy god hath chosen place name thou shalt remember thou wast bondman egypt thou shalt observe statute thou shalt observe feast tabernacle seven day thou hast gather thy corn thy wine thou shalt rejoice thy feast thou thy son thy daughter ,1
34,place roof yesterday look assent seem awful moment speech sister continued suffer dreadfully mr ferrars short scene complicate distress hope storm may weather without quite overcome poor fanny hysteric yesterday alarm much donavan say nothing materially apprehend constitution good one resolution equal thing borne fortitude angel say shall think well anybody one wonder deceive meeting ingratitude much kindness shewn much confidence place quite benevolence heart ask young woman house merely thought deserve attention harmless well behave girl pleasant companion otherwise wish much invite marianne kind friend attend daughter reward wish heart say poor fanny affectionate way ask sister instead stop thanked do go poor mr ferrars suffer first fanny broke described truest affection planning eligible connection suppose time secretly engage another person suspicion enter head suspect prepossession elsewhere quarter sure say might thought safe quite agony consult together however do last determine send edward come sorry relate ensue mr ferrars ,0
534,whose fountain shall tell sun heaven thou wert voice god mantle didst invest rise world water dark deep void formless infinite thee visit bolder wing escap stygian pool though long detain obscure sojourn flight utter middle darkness borne note orphean lyre sung chaos eternal night taught heavenly muse venture dark descent ascend though hard rare thee revisit safe feel thy sovran vital lamp thou revisit st eye roll vain find thy pierce ray find dawn thick drop serene hath quench orb dim suffusion veil yet cease wander mus haunt clear spring shady grove sunny hill smit love sacred song chief thee sion flowery brook beneath wash thy hallow foot warble flow nightly visit sometimes forget equall renown thy sovran command man find grace blind thamyris blind maeonides tiresias phineus prophet old feed thought voluntary move harmonious number wakeful bird sings darkling shadiest covert hid tune nocturnal note thus year season ,4
506,glory son blaze forth unclouded deity full resplendent father manifest express thus divinely answer mild father eternal thine decree mine heaven earth thy supreme thou thy son beloved mayest rest well pleased go judge earth thy transgressours thou knowest whoever judged bad must light time shall undertook thee repent obtain right may mitigate doom derive yet shall temper justice mercy may illustrate fully satisfied thee appease attendance none shall need train none behold judgement judged two third best absent condemn convict flight rebel law conviction serpent none belongs thus say radiant seat rise high collateral glory throne power princedom domination ministrant accompany heaven gate whence eden coast prospect lay descend straight speed god time count though swiftest minute wing sun western cadence low noon gentle air due hour fan earth wake usher even cool wrath cool come mild judge intercessour sentence man voice god heard walk garden soft wind brought ,4
66,elinor direct avowal love sister affected much immediately able say anything even spirit recover debate short time answer proper give real state thing willoughby sister little know endeavour explain might liable say much little yet convince marianne affection willoughby leave hope colonel brandon success whatever event affection might time wish shield conduct censure thought prudent kind consideration say really knew believe acknowledge therefore though inform term stood mutual affection doubt correspondence astonish hear listen silent attention cease speak rise directly seat say voice emotion sister wish imaginable happiness willoughby may endeavour deserve take leave go away elinor derive comfortable feeling conversation lessen uneasiness mind point left contrary melancholy impression colonel brandon unhappiness prevent even wish remove anxiety event must confirm chapter nothing occur next three four day make elinor regret do apply mother willoughby neither come write engage end time attend lady middleton party mr jennings kept away indisposition young ,0
262,say unto servant john baptist risen dead therefore mighty work shew forth herod laid hold john bound put prison herodias sake brother philip wife john say unto lawful thee put death fear multitude count prophet herod birthday kept daughter herodias dance pleased herod whereupon promise oath give whatsoever ask instruct mother say give john baptist head charger king sorry nevertheless oath sake sat meat command give sent behead john prison head brought charger give damsel brought mother disciple come take body bury go told jesus jesus heard depart thence ship desert place apart people heard thereof follow foot city jesus go forth saw great multitude move compassion toward heal sick even disciple come say desert place time past send multitude away may go village buy victual jesus say unto need depart give ye eat say unto five loaf two fish say bring hither command multitude sit grass take five loaf ,1
429,war heaven success untaught proud imagination thus displayed power dominion deity heaven since deep within gulf hold immortal vigour though oppress fall give heaven lose descent celestial virtue rise appear glorious dread fall trust fear second fate though right fix law heaven first create leader next free choice besides council fight hath achieve merit yet loss thus far least recover hath much establish safe unenvied throne yield full consent happier state heaven follow dignity might draw envy inferior envy high place expose foremost stand thunderer aim bulwark condemns great share endless pain good strive strife grow faction none sure claim hell precedence none whose portion small present pain ambitious mind covet advantage union firm faith firm accord heaven return claim inheritance old surer prosper prosperity assure best way whether open war covert guile debate advise may speak cease next moloch sceptred king stood strong fiercest spirit fought heaven fiercer despair ,4
303,fugitive ephraim among ephraimites among manassites gileadites take passage jordan ephraimites ephraimites escape say let go men gilead say unto art thou ephraimite say nay say unto say shibboleth say sibboleth frame pronounce right take slew passage jordan fell time ephraimites forty two thousand jephthah judged israel six year die jephthah gileadite bury one city gilead ibzan bethlehem judged israel thirty son thirty daughter sent abroad take thirty daughter abroad son judged israel seven year die ibzan bury bethlehem elon zebulonite judged israel judged israel ten year elon zebulonite die bury aijalon country zebulun abdon son hillel pirathonite judged israel forty son thirty nephew rode threescore ten as colt judged israel eight year abdon son hillel pirathonite die bury pirathon land ephraim mount amalekites child israel evil sight lord lord deliver hand philistine forty year certain man zorah family danites whose name manoah wife barren bare angel lord appear unto ,1
131,execution private ball park begin party water make accomplish often showery october allow every meeting kind willoughby include ease familiarity naturally attend party exactly calculate give increase intimacy acquaintance dashwoods afford opportunity witness excellency marianne mark animate admiration receive behaviour point assurance affection elinor surprised attachment wish less openly shewn twice venture suggest propriety self command marianne marianne abhor concealment real disgrace attend unreserve aim restraint sentiment illaudable appear merely unnecessary effort disgraceful subjection reason common place mistaken notion willoughby thought behaviour time illustration opinion present eye one else every thing right every thing say clever evening park conclude card cheat rest party get good hand dance form amusement night partner half time oblige separate couple dance careful stand together scarcely spoke word body else conduct make course exceedingly laugh ridicule shame seem hardly provoke mr dashwood enter feeling warmth left inclination check excessive display natural consequence strong affection young ,0
